data_level,route,scenario,is_crisis,route_distance_km,avg_route_duration_minutes,time_shortest_s,time_traffic_s,time_gnn_s,time_classifier_s,compute_time_shortest_s,compute_time_traffic_s,compute_time_gnn_s,compute_time_classifier_s,winner,seed
90,South to Northeast,Normal traffic,False,11.13,23.23,1716,1072,1072,1287,0.036,0.081,0.535,0.332,TIE,79971319
90,Ring road W to E,Normal traffic,False,16.35,25.16,1920,1099,1115,1876,0.035,0.202,0.455,0.454,TRAFFIC,80063319
90,Grigiskes to Verkiai,Normal traffic,False,24.31,30.18,1923,1698,1736,1855,0.037,0.091,0.493,0.332,TRAFFIC,79975719
90,Salininkai to Seskine,Normal traffic,False,9.3,15.07,1079,730,733,741,0.028,0.093,0.605,0.284,TRAFFIC,79918319
90,Old Town loop,all bridges old town destroyed_optimistic,True,1.53,5.51,333,328,328,328,0.024,0.093,0.542,0.088,TIE,79984287
90,Gediminas Ave,all bridges old town destroyed_optimistic,True,1.08,3.92,237,234,249,237,0.029,0.093,0.559,0.107,TRAFFIC,79972287
90,Station to centre,all bridges old town destroyed_optimistic,True,1.69,7.28,453,421,457,421,0.031,0.077,0.565,0.159,TRAFFIC,79967487
90,Uzupis internal,all bridges old town destroyed_optimistic,True,2.14,6.13,368,368,368,368,0.025,0.083,0.653,0.102,TIE,79995487
90,Zirmunai to Naujamiestis,all bridges old town destroyed_optimistic,True,7.05,16.38,1095,870,1080,1335,0.03,0.093,0.46,0.32,TRAFFIC,79990387
90,Antakalnis to centre,all bridges old town destroyed_optimistic,True,6.43,17.32,1045,1034,1064,1350,0.026,0.08,0.445,0.233,TRAFFIC,79999787
90,Seskine to Old Town,all bridges old town destroyed_optimistic,True,6.73,14.73,892,876,879,1010,0.032,0.081,0.507,0.282,TRAFFIC,80010287
90,Karoliniskes to Uzupis,all bridges old town destroyed_optimistic,True,7.84,17.78,1161,973,1101,1165,0.03,0.081,0.627,0.285,TRAFFIC,79997087
90,Justiniskes to centre,all bridges old town destroyed_optimistic,True,7.18,14.67,887,873,873,898,0.028,0.085,0.517,0.182,TIE,80012387
90,Fabijoniskes to river,all bridges old town destroyed_optimistic,True,6.13,11.15,669,669,719,1039,0.026,0.08,0.467,0.281,TRAFFIC,80028487
90,West to East,all bridges old town destroyed_optimistic,True,13.05,23.8,1523,1333,1488,1707,0.031,0.099,0.683,0.335,TRAFFIC,80056487
90,North to South,all bridges old town destroyed_optimistic,True,11.93,21.91,1375,1254,1272,1500,0.041,0.089,0.439,0.362,TRAFFIC,80031487
90,Pilaite to Pasilaiciai,all bridges old town destroyed_optimistic,True,9.88,15.55,929,937,929,1108,0.029,0.081,0.508,0.286,GNN,79996487
90,Lazdynai to Antakalnis,all bridges old town destroyed_optimistic,True,10.3,17.02,1116,926,932,1031,0.029,0.082,0.469,0.289,TRAFFIC,80011687
90,Pilaite to Fabijoniskes,all bridges old town destroyed_optimistic,True,10.76,17.17,1030,1030,1085,1209,0.03,0.085,0.593,0.282,TRAFFIC,80001487
90,Lazdynai to Jeruzale,all bridges old town destroyed_optimistic,True,9.79,16.65,1078,920,920,1035,0.027,0.078,0.483,0.328,TIE,79941487
90,South to Northeast,all bridges old town destroyed_optimistic,True,11.29,24.52,1657,1286,1364,1287,0.03,0.083,0.475,0.287,TRAFFIC,79969487
90,Ring road W to E,all bridges old town destroyed_optimistic,True,16.39,18.4,1109,1099,1106,1115,0.036,0.082,0.487,0.309,TRAFFIC,80061487
90,Grigiskes to Verkiai,all bridges old town destroyed_optimistic,True,26.28,40.02,2530,2273,2273,2402,0.055,0.096,0.514,0.324,TIE,79973887
90,Salininkai to Seskine,all bridges old town destroyed_optimistic,True,10.27,18.43,1221,991,991,1118,0.03,0.084,0.554,0.301,TIE,79916487
90,Old Town loop,Car crashes in Lazdynai,True,1.53,5.51,333,328,328,328,0.029,0.088,0.425,0.087,TIE,79989160
90,Gediminas Ave,Car crashes in Lazdynai,True,1.08,3.92,237,234,234,234,0.024,0.091,0.575,0.085,TIE,79977160
90,Station to centre,Car crashes in Lazdynai,True,1.69,7.28,453,421,457,421,0.024,0.076,0.52,0.123,TRAFFIC,79972360
90,Uzupis internal,Car crashes in Lazdynai,True,2.14,6.13,368,368,368,368,0.024,0.077,0.506,0.084,TIE,80000360
90,Zirmunai to Naujamiestis,Car crashes in Lazdynai,True,5.68,14.74,1053,716,911,1091,0.026,0.195,0.481,0.458,TRAFFIC,79995260
90,Antakalnis to centre,Car crashes in Lazdynai,True,3.93,10.57,673,596,598,756,0.026,0.075,0.453,0.226,TRAFFIC,80004660
90,Seskine to Old Town,Car crashes in Lazdynai,True,6.05,12.43,759,733,731,779,0.026,0.077,0.53,0.319,GNN,80015160
90,Karoliniskes to Uzupis,Car crashes in Lazdynai,True,7.56,17.39,1114,973,1068,1161,0.028,0.096,0.497,0.287,TRAFFIC,80001960
90,Justiniskes to centre,Car crashes in Lazdynai,True,6.61,12.75,785,745,746,808,0.029,0.08,0.609,0.198,TIE,80017260
90,Fabijoniskes to river,Car crashes in Lazdynai,True,6.13,11.15,669,669,719,911,0.028,0.089,0.482,0.321,TRAFFIC,80033360
